selection,matchup,game_time,market,side,line,american_price,model_probability,implied_probability,probability_difference,signal,captured_at
Justin Wrobleski,Los Angeles Dodgers at Pittsburgh Pirates,6:41 PM ET,pitcher_strikeouts,Under,4.5,108,0.5966508635762996,0.44892552251987045,0.14772534105642915,Strong,2026-06-11T15:17:21+0000
Kyle Bradish,Seattle Mariners at Baltimore Orioles,7:06 PM ET,pitcher_strikeouts,Under,5.5,-112,0.6207585912962039,0.5043297540699688,0.1164288372262351,Strong,2026-06-11T15:17:21+0000
Bryan Woo,Seattle Mariners at Baltimore Orioles,7:06 PM ET,pitcher_strikeouts,Under,6.5,-154,0.6636240691166457,0.5670257738988136,0.09659829521783214,Strong,2026-06-11T15:17:21+0000
YRFI,Seattle Mariners at Baltimore Orioles,7:06 PM ET,totals_1st_1_innings,Over,0.5,-106,0.5680646972957759,0.48542880932556204,0.08263588797021387,Strong,2026-06-11T15:17:21+0000
Ryan Feltner,Chicago Cubs at Colorado Rockies,3:11 PM ET,pitcher_strikeouts,Over,3.5,-110,0.5796980500291027,0.5,0.07969805002910268,Strong,2026-06-11T15:17:21+0000
YRFI,St. Louis Cardinals at New York Mets,1:11 PM ET,totals_1st_1_innings,Over,0.5,-120,0.5832075469413893,0.5145711906744379,0.06863635626695141,Watch,2026-06-11T15:17:21+0000
Michael Wacha,Texas Rangers at Kansas City Royals,2:11 PM ET,pitcher_strikeouts,Under,4.5,-115,0.5696063350442706,0.5108342361863488,0.058772098857921784,Watch,2026-06-11T15:17:21+0000
Martin Perez,Atlanta Braves at Chicago White Sox,7:41 PM ET,pitcher_strikeouts,Under,4.5,-154,0.6152693139562524,0.5670257738988136,0.048243540057438805,Watch,2026-06-11T15:17:21+0000
Christian Scott,St. Louis Cardinals at New York Mets,1:11 PM ET,pitcher_strikeouts,Under,5.5,-148,0.6136979229289168,0.5676429567642958,0.046054966164621014,Watch,2026-06-11T15:17:21+0000
YRFI,Chicago Cubs at Colorado Rockies,3:11 PM ET,totals_1st_1_innings,Over,0.5,-154,0.611706013336355,0.5715249662618084,0.040181047074546616,Watch,2026-06-11T15:17:21+0000
Merrill Kelly,Arizona Diamondbacks at Miami Marlins,1:11 PM ET,pitcher_strikeouts,Under,4.5,-146,0.5854821844785121,0.5548317046688382,0.030650479809673836,Watch,2026-06-11T15:17:21+0000
