slate_date,slate_label,selection,matchup,game_time,market,recommended_side,recommendation,expected_count,reference_line,line_gap,probability_over,model_probability,confidence,projection_note,status,generated_at
2026-06-10,"June 10, 2026",Shohei Ohtani,Los Angeles Dodgers at Pittsburgh Pirates,6:40 PM ET,pitcher_strikeouts,Under,Under 6.5 K,4.662084037241589,6.5,-1.8379159627584114,0.19025934226353358,0.8097406577364664,82.4,Probable starter · model vs reference 6.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Chris Sale,Atlanta Braves at Chicago White Sox,7:40 PM ET,pitcher_strikeouts,Under,Under 7.5 K,5.984500991625523,7.5,-1.5154990083744773,0.2538891531952233,0.7461108468047767,76.4,Probable starter · model vs reference 7.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Hunter Goodman,Chicago Cubs at Colorado Rockies,8:40 PM ET,batter_total_bases,Over,Over 1.5 TB,2.477468208226538,1.5,0.9774682082265378,0.7080473669888767,0.7080473669888767,75.4,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Shota Imanaga,Chicago Cubs at Colorado Rockies,8:40 PM ET,pitcher_strikeouts,Under,Under 5.5 K,4.154122541929277,5.5,-1.3458774580707233,0.23939798027903642,0.7606020197209635,74.4,Probable starter · model vs reference 5.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Brady Singer,Cincinnati Reds at San Diego Padres,4:10 PM ET,pitcher_strikeouts,Over,Over 3.5 K,4.815134052307838,3.5,1.3151340523078376,0.70805926507351,0.70805926507351,65.1,Probable starter · model vs reference 3.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Drew Rasmussen,Boston Red Sox at Tampa Bay Rays,1:10 PM ET,pitcher_strikeouts,Under,Under 5.5 K,4.428015113393354,5.5,-1.0719848866066464,0.284824286835906,0.715175713164094,62.7,Probable starter · model vs reference 5.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Seth Lugo,Texas Rangers at Kansas City Royals,7:40 PM ET,pitcher_strikeouts,Under,Under 5.5 K,4.448182624406583,5.5,-1.0518173755934166,0.2882441782908253,0.7117558217091746,61.6,Probable starter · model vs reference 5.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Parker Messick,New York Yankees at Cleveland Guardians,1:10 PM ET,pitcher_strikeouts,Under,Under 6.5 K,5.393506224156184,6.5,-1.1064937758438163,0.2973190249344507,0.7026809750655493,60.6,Probable starter · model vs reference 6.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Willi Castro,Chicago Cubs at Colorado Rockies,8:40 PM ET,batter_total_bases,Over,Over 1.5 TB,2.216990157407332,1.5,0.7169901574073321,0.6495523594582338,0.6495523594582338,54.7,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Bobby Witt Jr.,Texas Rangers at Kansas City Royals,7:40 PM ET,batter_total_bases,Over,Over 1.5 TB,2.2115206033399577,1.5,0.7115206033399577,0.648229417509571,0.648229417509571,54.2,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Jake McCarthy,Chicago Cubs at Colorado Rockies,8:40 PM ET,batter_total_bases,Over,Over 1.5 TB,2.204547216019559,1.5,0.7045472160195589,0.6465369799044884,0.6465369799044884,53.6,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Shohei Ohtani,Los Angeles Dodgers at Pittsburgh Pirates,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,2.2032110271426575,1.5,0.7032110271426575,0.6462119501764284,0.6462119501764284,53.5,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Ezequiel Tovar,Chicago Cubs at Colorado Rockies,8:40 PM ET,batter_total_bases,Over,Over 1.5 TB,2.1572340534477847,1.5,0.6572340534477847,0.6348831021853445,0.6348831021853445,49.7,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Troy Johnston,Chicago Cubs at Colorado Rockies,8:40 PM ET,batter_total_bases,Over,Over 1.5 TB,2.108963677641217,1.5,0.6089636776412171,0.6226847483174349,0.6226847483174349,45.5,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
